minutes,gross,budget,year,rating,score
117,6734844.00,17000000.00,1986,6.0,5.9
99,1400000.00,1100000.00,1987,5.9,5.9
103,41382841.00,18000000.00,1986,6.3,6.3
120,137963328.00,6000000.00,1986,8.1,8.1
99,4600000.00,1900000.00,1986,7.0,7.1
117,20966644.00,3000000.00,1985,7.3,7.4
97,2315683.00,17000000.00,1986,3.2,3.0
84,7137502.00,175000.00,1986,6.7,6.5
89,52287414.00,8000000.00,1986,8.1,8.1
119,109713132.00,25000000.00,1986,7.3,7.3
101,8025872.00,4700000.00,1986,5.6,5.5
110,176781728.00,15000000.00,1986,6.9,6.9
93,3500000.00,2700000.00,1986,6.0,5.9
108,109306210.00,15800000.00,1988,5.6,5.5
90,4000000.00,350000.00,1987,4.9,4.7
87,800000.00,4000000.00,1987,5.0,4.8
100,153665036.00,28000000.00,1987,6.5,6.4
92,11806119.00,1100000.00,1988,6.8,6.8
92,14000000.00,3500000.00,1987,6.1,6.0
157,5899797.00,29000000.00,1987,7.4,7.5
84,5923044.00,3600000.00,1987,7.8,7.8
119,156645693.00,14000000.00,1987,6.9,6.9
121,123922370.00,13000000.00,1987,7.3,7.3
94,14564027.00,1000000.00,1987,7.0,7.0
78,5228617.00,100000.00,1987,7.0,7.0
107,14375181.00,51000000.00,1987,4.4,4.2
89,20763013.00,23000000.00,1987,2.9,2.8
108,54215416.00,6500000.00,1987,6.9,6.8
163,43984230.00,23000000.00,1987,7.7,7.8
130,51185897.00,30000000.00,1987,6.7,6.7
92,3060858.00,10000000.00,1987,5.7,5.6
140,3130592.00,2600000.00,1987,7.7,7.8
96,44793200.00,4500000.00,1987,6.6,6.6
107,59735548.00,15000000.00,1987,7.8,7.8
98,30857814.00,16000000.00,1987,8.1,8.1
88,14792779.00,16000000.00,1987,7.5,7.6
101,38122105.00,27000000.00,1987,6.7,6.6
96,38119483.00,22700000.00,1987,7.1,7.1
90,15681020.00,17000000.00,1987,3.7,3.6
95,7888703.00,3000000.00,1987,3.3,3.2
102,167780960.00,11000000.00,1987,6.0,5.9
119,76270454.00,25000000.00,1987,7.9,7.9
126,43848100.00,15000000.00,1987,7.4,7.4
96,20257000.00,7000000.00,1988,5.4,5.2
124,439162.00,1100000000.00,1988,8.1,8.1
92,73326666.00,15000000.00,1988,7.5,7.5
104,114968774.00,18000000.00,1988,7.3,7.3
90,882290.00,10000000.00,1989,6.5,6.5
107,16118077.00,25000000.00,1988,5.7,5.6
87,33244684.00,9000000.00,1988,6.6,6.5
119,34700000.00,14000000.00,1988,7.6,7.7
132,81350242.00,28000000.00,1988,8.2,8.2
88,19170001.00,2800000.00,1988,5.3,5.3
88,17768000.00,5000000.00,1988,5.9,5.9
113,1705139.00,4700000.00,1988,6.6,6.7
69,48092846.00,12500000.00,1988,7.4,7.3
164,8373585.00,7000000.00,1988,7.6,7.6
126,38413606.00,30000000.00,1988,7.5,7.6
105,13854000.00,20000000.00,1988,5.3,5.2
104,12793213.00,6000000.00,1988,6.2,6.2
93,49369900.00,7000000.00,1988,5.7,5.7
97,7282851.00,3000000.00,1988,6.5,6.5
98,14114488.00,10500000.00,1988,4.7,4.5
102,354704.00,1300000.00,1987,5.8,5.9
133,172825435.00,25000000.00,1988,8.0,8.0
102,53715611.00,63000000.00,1988,5.8,5.7
121,14545844.00,6500000.00,1988,6.0,5.8
101,60328558.00,32000000.00,1988,7.0,7.0
110,3468572.00,4000000.00,1988,7.3,7.3
