Cuarto,Mes,Año,Valor
1,3,2019,103.415
2,3,2019,103.537
1,4,2019,103.501
2,4,2019,103.562
1,5,2019,103.25
2,5,2019,103.216
1,6,2019,103.225
2,6,2019,103.373
1,7,2019,103.654
2,7,2019,103.72
1,8,2019,103.642
2,8,2019,103.697
1,9,2019,103.877
2,9,2019,104.007
1,10,2019,104.42
2,10,2019,104.587
1,11,2019,105.299
2,11,2019,105.393
1,12,2019,105.763
2,12,2019,106.105
1,1,2020,106.388
2,1,2020,106.506
1,2,2020,106.636
2,2,2020,107.141
1,3,2020,107.254
2,3,2020,106.422
1,4,2020,105.655
2,4,2020,105.854
1,5,2020,106.167
2,5,2020,106.158
1,6,2020,106.495
2,6,2020,106.991
1,7,2020,107.371
2,7,2020,107.517
1,8,2020,107.777
2,8,2020,107.956
1,9,2020,108.132
2,9,2020,108.097
1,10,2020,108.686
2,10,2020,108.862
1,11,2020,108.91
2,11,2020,108.801
1,12,2020,109.168
2,12,2020,109.374
1,1,2021,109.936
2,1,2021,110.484
1,2,2021,110.736
2,2,2021,111.079
1,3,2021,111.668
2,3,2021,111.981
1,4,2021,112.052
2,4,2021,112.328
1,5,2021,112.321
2,5,2021,112.517
1,6,2021,112.903
2,6,2021,113.132
1,7,2021,113.547
2,7,2021,113.818
1,8,2021,113.794
